UID,Name,Age,Education,Gender,Starttime,Endtime,Duration,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,FQ1,FQ2,FQ3,FQ4,FQ5,FQ6,FQ7,FQ8,FQ9,FQ10,FQ11,FQ12
3,Sarah Noaman,21-30,Undergraduate,Female,4/25/2025 15:43,4/25/2025 15:51,0:07:21,strongly_agree,agree,disagree,strongly_disagree,disagree,disagree,disagree,disagree,agree,disagree,disagree,agree,no,Style/Brand,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
5,Jana Elhini,21-30,Undergraduate,Female,4/25/2025 15:46,4/25/2025 15:58,0:12:12,agree,strongly_agree,agree,disagree,disagree,disagree,disagree,strongly_agree,disagree,agree,agree,strongly_agree,partially,Price,In_Store,public_authorities,Legal regulations on companies and regular inspections,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The survey was very fun to answer, the format, added graphics and the “halfway there” checkpoint where encouraging to complete it",Strongly Agree
8,FAKHER FARID,61+,Bachelor,Male,4/25/2025 15:49,4/25/2025 16:13,0:23:49,agree,agree,strongly_agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,Definitely_not,Quality,Online,public_authorities,In God we trust,Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,Shorter better,Neutral
9,maya moneib,21-30,Undergraduate,Female,4/25/2025 15:50,4/25/2025 15:57,0:06:47,agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,agree,agree,agree,agree,partially,Quality,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
20,Eman wahid,21-30,Undergraduate,Female,4/25/2025 15:54,4/25/2025 16:09,0:14:43,agree,strongly_agree,strongly_agree,disagree,disagree,agree,disagree,strongly_agree,strongly_agree,agree,disagree,strongly_agree,no,Quality,In_Store,consumer,Encourage and educate local brands to create ethical environmental products and lower their prices and improve awareness about environmental impacts to customers,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
21,Nada,21-30,Undergraduate,Female,4/25/2025 15:56,4/25/2025 16:14,0:18:05,agree,disagree,agree,disagree,agree,strongly_disagree,disagree,agree,agree,agree,agree,strongly_agree,Definitely_not,Quality,In_Store,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it is perfect in my own opinion. very fun as well!!,Strongly Agree
22,Tasneem,21-30,Postgraduate_student,Female,4/25/2025 15:58,4/25/2025 16:06,0:08:52,agree,strongly_agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,"implementing stronger and harsher standards and regulations on companies, corporations, and organizations that are implicit in fast fashion",Agree,Neutral,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Neutral,Neutral,Agree,NULL,Neutral
25,Rawan,21-30,Undergraduate,Female,4/25/2025 16:00,4/25/2025 16:05,0:05:43,agree,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,no,Price,Online,public_authorities,Consumers should stop supporting fast fashion to drive brands to be more environmental,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Neutral,Agree,Agree,Agree,NULL,Strongly Agree
28,khadija khaled,21-30,Bachelor,Female,4/25/2025 16:05,4/25/2025 16:12,0:06:35,strongly_agree,strongly_agree,agree,disagree,disagree,agree,disagree,agree,agree,disagree,disagree,agree,no,Quality,Online,public_authorities,provide better enviroments for the workers,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,the survey was entertaining to answer. the rewards were rewarding,Agree
30,Jowah,61+,Postgraudate_Degree,Male,4/25/2025 16:09,4/25/2025 16:11,0:02:49,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,agree,yes,Brand,In_Store,consumer,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
32,Hala Halim,51-60,Bachelor,Female,4/25/2025 16:13,4/25/2025 16:19,0:05:31,strongly_agree,strongly_agree,agree,disagree,agree,disagree,disagree,agree,disagree,disagree,disagree,agree,no,Price,In_Store,public_authorities,Laws and regulations,Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,NULL,Neutral
33,Menna Hamza,21-30,Undergraduate,Female,4/25/2025 16:13,4/25/2025 16:17,0:03:44,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly_agree,yes,Price,In_Store,public_authorities,Availability of materials,Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Agree,Neutral,Neutral,Neutral,NULL,Strongly Agree
36,Adel Imam,61+,Postgraudate_Degree,Male,4/25/2025 16:19,4/25/2025 16:32,0:13:22,agree,agree,strongly_agree,agree,disagree,agree,disagree,agree,agree,agree,disagree,agree,partially,Quality,In_Store,public_authorities,"Publicity ,",Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Agree,Neutral,Agree,NULL,Neutral
37,Jumana,21-30,Undergraduate,Female,4/25/2025 16:21,4/25/2025 16:27,0:06:21,agree,agree,agree,disagree,agree,disagree,strongly_disagree,disagree,strongly_agree,agree,agree,agree,no,Quality,Online,public_authorities,NULL,Strongly Agree,Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
38,Omar,21-30,Bachelor,Male,4/25/2025 16:30,4/25/2025 16:35,0:05:00,agree,agree,agree,agree,disagree,disagree,strongly_disagree,disagree,disagree,disagree,agree,strongly_agree,no,Quality,In_Store,public_authorities,Better laws and regulations,Agree,Neutral,Agree,Moderately Helpful,People I know were interested in or sent me that survey.,Neutral,Disgree,Neutral,Disgree,Agree,NULL,Neutral
44,Loujine,21-30,Undergraduate,Female,4/25/2025 16:35,4/25/2025 16:45,0:10:11,agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,disagree,strongly_agree,Definitely,Style/Brand,Online,public_authorities,"Applying some sort of fines on non-environmentally friendly brands, this regulates the market to become a ethical and environmentally friendly one",Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
46,Malak,21-30,Undergraduate,Female,4/25/2025 16:35,4/25/2025 16:43,0:07:46,agree,agree,agree,agree,agree,agree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,agree,no,Quality,In_Store,public_authorities,Thrifting,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A truly great experience,Strongly Agree
47,hala,21-30,Undergraduate,Female,4/25/2025 16:37,4/25/2025 16:48,0:11:03,strongly_agree,agree,agree,agree,agree,disagree,disagree,disagree,disagree,agree,disagree,strongly_agree,yes,Identity_Building,Online,"i think everyone really cuz the companies should have csr, the authorities are able to control this to an extent and the customers buy these products so i dont think one of them is like more responsible than the other",NULL,Agree,Agree,Neutral,Slightly Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Disgree,Disgree,Disgree,Agree,"the annoying noise when u type cuz it said magic happens when u write, i didnt know that was the magic u meant??",Agree
51,Aliaa,31-40,Postgraduate_student,Female,4/25/2025 16:42,4/25/2025 17:00,0:17:29,strongly_agree,agree,agree,agree,disagree,disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_disagree,strongly_agree,no,Quality,In_Store,public_authorities,Governments should enforce laws that protect the workers and the environment,Strongly Agree,Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,I found it interesting to show a video at the beginning and to get the popups that I was halfway there,Agree
54,Ezzeldin Yahya,21-30,Undergraduate,Male,4/25/2025 16:48,4/25/2025 16:58,0:09:59,disagree,agree,strongly_agree,strongly_agree,disagree,disagree,strongly_disagree,disagree,agree,strongly_agree,agree,strongly_agree,no,Quality,Online,public_authorities,Increasing the public’s awareness about the issue and putting firm laws that promote ethicality and environmental awareness,Strongly Agree,Agree,Agree,Slightly Helpful,The survey effectively made me think about fast fashion.,Neutral,Agree,Neutral,Neutral,Neutral,NULL,Agree
55,Adam,16-20,Undergraduate,Male,4/25/2025 16:57,4/25/2025 17:00,0:02:44,strongly_disagree,agree,agree,disagree,agree,agree,agree,disagree,strongly_agree,disagree,disagree,strongly_agree,no,Quality,Online,public_authorities,Taxes,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,NULL,Agree
59,safeya khaled,16-20,Undergraduate,Female,4/25/2025 17:03,4/25/2025 17:09,0:05:52,agree,disagree,strongly_agree,agree,disagree,disagree,disagree,strongly_agree,disagree,agree,strongly_agree,strongly_agree,no,Quality,In_Store,public_authorities,impose taxes on companies,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1000/10,Strongly Agree
60,Mohamed,21-30,Undergraduate,Male,4/25/2025 17:04,4/25/2025 17:11,0:06:38,agree,agree,strongly_agree,agree,strongly_agree,disagree,strongly_disagree,agree,agree,disagree,disagree,strongly_agree,partially,Price,Online,public_authorities,NULL,Agree,Neutral,Neutral,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Neutral,Disgree,Neutral,Agree,NULL,Neutral
61,Hania,21-30,Undergraduate,Female,4/25/2025 17:05,4/25/2025 17:10,0:05:33,agree,agree,strongly_agree,disagree,agree,disagree,strongly_disagree,agree,agree,disagree,agree,agree,no,Quality,In_Store,public_authorities,Add taxes,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
62,Lousenda El-Khosht,21-30,Bachelor,Female,4/25/2025 17:05,4/25/2025 17:14,0:08:35,agree,agree,strongly_agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,strongly_agree,no,Quality,In_Store,consumer,"Setting guidelines and regulations, while taxing unethical companies",Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,People I know were interested in or sent me that survey.,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,NULL,Agree
65,Maryam,16-20,Undergraduate,Female,4/25/2025 17:19,4/25/2025 17:24,0:04:32,agree,agree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,disagree,strongly_disagree,agree,agree,strongly_agree,partially,Identity_Building,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,NULL,Strongly Agree
66,Sama Tamer,16-20,Undergraduate,Female,4/25/2025 17:21,4/25/2025 17:30,0:09:02,agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,disagree,disagree,agree,partially,Brand,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
67,noor elshazly,16-20,High,Female,4/25/2025 17:22,4/25/2025 17:28,0:05:49,agree,agree,agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,companies should use environment safe products to achieve their clothing and consumers shouldn’t buy anything otherwise,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,People I know were interested in or sent me that survey.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
68,Karim Al Sanabary,41-50,Postgraduate_student,Male,4/25/2025 17:30,4/25/2025 17:38,0:08:34,agree,strongly_agree,strongly_agree,agree,agree,agree,disagree,agree,disagree,strongly_agree,agree,strongly_agree,no,Style/Brand,In_Store,Both,Reduce fast paste behavior,Strongly Agree,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Neutral,Neutral,Disgree,Neutral,Neutral,NULL,Disagree
78,Nouran,21-30,Bachelor,Female,4/25/2025 17:34,4/25/2025 17:44,0:10:01,agree,disagree,agree,disagree,strongly_agree,strongly_disagree,strongly_disagree,agree,disagree,strongly_agree,strongly_agree,agree,Definitely_not,Ethicality,In_Store,public_authorities,NULL,Strongly Agree,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Strongly Agree,NULL,Neutral
79,Amina Imam,31-40,Postgraudate_Degree,Female,4/25/2025 17:36,4/25/2025 17:42,0:05:58,agree,agree,agree,disagree,agree,agree,NULL,agree,strongly_disagree,strongly_disagree,disagree,agree,no,Price,In_Store,public_authorities,Reducing the price of local brands through reducing the taxes.,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,People I know were interested in or sent me that survey.,Strongly Agree,Agree,Agree,Agree,Strongly Agree,May be add background changes or skins as you advance in the game.,Agree
81,Malak,21-30,Undergraduate,Female,4/25/2025 17:42,4/25/2025 17:47,0:04:59,agree,strongly_agree,strongly_agree,agree,disagree,strongly_agree,strongly_agree,agree,agree,disagree,agree,strongly_agree,yes,Quality,In_Store,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
85,Sahar Sami,31-40,Bachelor,Female,4/25/2025 17:46,4/25/2025 17:50,0:03:57,agree,agree,agree,agree,disagree,agree,agree,disagree,agree,agree,agree,disagree,partially,Quality,Online,consumer,.,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,.,Strongly Agree
86,Sherine Halim,51-60,Bachelor,Female,4/25/2025 17:47,4/25/2025 17:55,0:08:33,strongly_agree,disagree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_agree,agree,agree,strongly_agree,no,Quality,Online,public_authorities,Cultural change,Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Agree,Agree,Agree,Agree,It needs to be mobile friendly since most survey candidates use mobile. Great work. ??,Strongly Agree
88,Sherif ELSHAZLY,51-60,Bachelor,Male,4/25/2025 17:54,4/25/2025 18:00,0:06:36,agree,disagree,agree,agree,agree,agree,disagree,disagree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,Expand textile recycling and repair facilities. Support research in sustainable fabric technology Foster public-private partnerships for circular solutions.,Agree,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Agree,"The survey was thoughtful, constructive, and valuable.",Agree
90,Esraa,16-20,Undergraduate,Female,4/25/2025 18:09,4/25/2025 18:14,0:05:04,agree,agree,agree,disagree,agree,agree,strongly_disagree,disagree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,People need to focus on appearances less,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Neutral,Agree,NULL,Agree
92,Khaled Ali,61+,Postgraudate_Degree,Male,4/25/2025 18:30,4/25/2025 18:37,0:06:48,agree,disagree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,Definitely,Quality,NULL,consumer,NULL,Strongly Agree,Agree,Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,NULL,Agree
93,Kenzy,16-20,Undergraduate,Female,4/25/2025 18:33,4/25/2025 18:57,0:24:19,strongly_agree,strongly_agree,disagree,disagree,disagree,agree,disagree,agree,agree,disagree,agree,agree,no,Style/Brand,Online,public_authorities,Brands start to be more ethical,Agree,Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Agree,Agree,Neutral,Agree,NULL,Agree
96,Nada,21-30,Undergraduate,Female,4/25/2025 18:40,4/25/2025 18:46,0:05:45,agree,strongly_agree,agree,agree,disagree,agree,agree,disagree,strongly_agree,agree,agree,agree,yes,Style/Brand,Online,public_authorities,the company being shut down,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
97,Nosaiba,21-30,Undergraduate,Female,4/25/2025 18:42,4/25/2025 18:52,0:10:20,agree,disagree,agree,disagree,agree,disagree,strongly_disagree,disagree,agree,disagree,agree,disagree,no,Style/Brand,Online,public_authorities,The company itself prohibit their use,Agree,Neutral,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Strongly Agree,Agree,"It was fun tho, something new",Neutral
102,Moaz,16-20,Undergraduate,Male,4/25/2025 18:59,4/25/2025 19:03,0:03:45,strongly_disagree,disagree,agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,agree,agree,NULL,yes,Price,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Agree,Very Helpful,People I know were interested in or sent me that survey.,Agree,Agree,Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
109,Rama,21-30,Undergraduate,Female,4/25/2025 19:15,4/25/2025 19:23,0:07:56,agree,disagree,agree,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,strongly_agree,no,Style/Brand,In_Store,public_authorities,Authorities regulations,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Agree,Agree,Agree,Strongly Agree,NULL,Agree
110,Amira Ibrahim,21-30,Undergraduate,Female,4/25/2025 19:20,4/25/2025 19:25,0:04:28,agree,agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,disagree,agree,partially,Quality,Online,public_authorities,"Taking a more ethical/environmentally friendly approach to production, and taking into account how the company’s business processes affect the environment. This could be enforced and monitored by the government through taxes and restrictions",Agree,Agree,Agree,Moderately Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Neutral,Agree,Agree,NULL,Agree
113,Rawan monhamed,21-30,Undergraduate,Female,4/25/2025 19:24,4/25/2025 19:29,0:05:24,agree,agree,agree,strongly_agree,strongly_agree,disagree,disagree,agree,disagree,agree,strongly_agree,agree,no,Quality,In_Store,public_authorities,Second hand shops,Strongly Agree,Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Agree,Strongly Agree,Agree,Agree,Strongly Agree,NULL,Strongly Agree
115,Abdelrhman,16-20,Undergraduate,Male,4/25/2025 19:30,4/25/2025 19:35,0:04:43,disagree,strongly_disagree,agree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_disagree,disagree,disagree,strongly_disagree,strongly_disagree,no,Style/Brand,In_Store,Both,Self conscious,Strongly Agree,Strongly Disgree,Strongly Agree,Not Helpful,"The survey was interesting, and I enjoyed answering it.",Neutral,Strongly Disgree,Strongly Disgree,Strongly Disgree,Disgree,NULL,Neutral
120,nour,16-20,High,Female,4/25/2025 19:47,4/25/2025 20:03,0:15:54,strongly_agree,disagree,agree,agree,disagree,disagree,strongly_disagree,disagree,disagree,disagree,agree,agree,no,Style/Brand,In_Store,public_authorities,???????? ??????? ?? ??????? ??????? ????? ????,Strongly Agree,Neutral,Agree,Moderately Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Strongly Agree,Strongly Disgree,Neutral,Agree,very nice ??,Strongly Agree
121,Ahmed,21-30,Undergraduate,Male,4/25/2025 19:49,4/25/2025 19:59,0:10:06,disagree,agree,agree,disagree,agree,disagree,disagree,disagree,agree,agree,agree,strongly_agree,Definitely_not,Ethicality,Online,public_authorities,Government Intervention,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,"If this was a survery platform like google forms, then re-using the character (e.g., by signing up), styling it, and gaining points for answering surveys would be even more awesome!",Agree
122,Roaa,21-30,Undergraduate,Female,4/25/2025 19:51,4/25/2025 20:06,0:14:28,strongly_agree,agree,agree,disagree,agree,disagree,strongly_disagree,agree,agree,agree,strongly_agree,agree,no,Style/Brand,In_Store,public_authorities,Better marketing for environmentally friendly companies and companies explaining how they produce their products ethically on their website,Agree,Strongly Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Neutral,Neutral,Strongly Agree,NULL,Agree
134,Maryam Elsayed,21-30,Undergraduate,Female,4/25/2025 20:51,4/25/2025 20:56,0:05:17,agree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,agree,agree,disagree,no,Identity_Building,In_Store,public_authorities,Raising awareness,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,It's perfect,Strongly Agree
141,Habiba,16-20,Undergraduate,Female,4/25/2025 21:28,4/25/2025 21:35,0:07:14,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_disagree,strongly_disagree,agree,agree,strongly_agree,agree,strongly_agree,Definitely_not,Ethicality,Online,public_authorities,Advertisement,Strongly Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Nth its just perfect,Strongly Agree
144,Yara Fouad,21-30,Postgraduate_student,Female,4/25/2025 21:35,4/25/2025 21:42,0:06:31,disagree,agree,agree,strongly_agree,strongly_agree,disagree,agree,agree,strongly_disagree,agree,agree,strongly_agree,no,Quality,In_Store,consumer,NULL,Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Neutral,Agree,Neutral,Neutral,NULL,Strongly Agree
